class,Binomial,category_at_start,category_at_end,first_year,second_year,numeric_category_at_start,numeric_category_at_end,Delta_Status
BIRDS,Balearica regulorum,LC,VU,2008,2009,0,2,-2
BIRDS,Foudia rubra,CR,EN,2008,2009,4,3,1
BIRDS,Grantiella picta,NT,VU,2008,2009,1,2,-1
BIRDS,Heteromirafra sidamoensis,EN,CR,2008,2009,3,4,-1
BIRDS,Loxioides bailleui,EN,CR,2008,2009,3,4,-1
BIRDS,Menura alberti,VU,NT,2008,2009,2,1,1
BIRDS,Podiceps gallardoi,NT,EN,2008,2009,1,3,-2
BIRDS,Pterodroma axillaris,CR,EN,2008,2009,4,3,1
BIRDS,Pterodroma cookii,EN,VU,2008,2009,3,2,1
BIRDS,Suiriri islerorum,LC,NT,2008,2009,0,1,-1
BIRDS,Todiramphus godeffroyi,EN,CR,2008,2009,3,4,-1
AMPHIBIANS,Nectophrynoides asperginis,CR,EW,2008,2009,4,NA,NA
FISHES,Neochanna apoda,LR/nt,VU,2008,2009,NA,2,NA
FISHES,Prototroctes maraena,VU,NT,2008,2009,2,1,1
FISHES,Pseudomugil connieae,NT,VU,2008,2009,1,2,-1
FISHES,Triakis semifasciata,NT,LC,2008,2009,1,0,1
INVERTEBRATES,Biomphalaria tchadiensis,VU,EN,2008,2009,2,3,-1
INVERTEBRATES,Partula labrusca,EW,EX,2008,2009,NA,NA,NA
INVERTEBRATES,Partula rosea,CR,EW,2008,2009,4,NA,NA
INVERTEBRATES,Partula varia,CR,EW,2008,2009,4,NA,NA
INVERTEBRATES,Samoana attenuata,EN,CR,2008,2009,3,4,-1
PLANTS,Toussaintia orientalis,VU,EN,2008,2009,2,3,-1
BIRDS,Balearica pavonina,NT,VU,2009,2010,1,2,-1
BIRDS,Calidris tenuirostris,LC,VU,2009,2010,0,2,-2
BIRDS,Chaetura pelagica,LC,NT,2009,2010,0,1,-1
BIRDS,Cyanolimnas cerverai,EN,CR,2009,2010,3,4,-1
BIRDS,Emberiza jankowskii,VU,EN,2009,2010,2,3,-1
BIRDS,Numenius madagascariensis,LC,VU,2009,2010,0,2,-2
BIRDS,Ognorhynchus icterotis,CR,EN,2009,2010,4,3,1
BIRDS,Spheniscus demersus,VU,EN,2009,2010,2,3,-1
BIRDS,Sturnus melanopterus,EN,CR,2009,2010,3,4,-1
REPTILES,Aprasia aurita,VU,CR,2009,2010,2,4,-2
REPTILES,Iguana delicatissima,VU,EN,2009,2010,2,3,-1
REPTILES,Oligosoma otagense,VU,EN,2009,2010,2,3,-1
AMPHIBIANS,Vandijkophrynus amatolicus,EN,CR(PE),2009,2010,3,NA,NA
FISHES,Fundulus waccamensis,VU,EN,2009,2010,2,3,-1
FISHES,Huso dauricus,EN,CR,2009,2010,3,4,-1
FISHES,Huso huso,EN,CR,2009,2010,3,4,-1
FISHES,Xyrauchen texanus,EN,CR,2009,2010,3,4,-1
ODONATA,Chlorolestes elegans,NT,VU,2009,2010,1,2,-1
BEETLES,Cucujus cinnaberinus,VU,NT,2009,2010,2,1,1
MOLLUSCS,Bellamya mweruensis,EN,CR,2009,2010,3,4,-1
MOLLUSCS,Bellamya pagodiformis,EN,CR,2009,2010,3,4,-1
MOLLUSCS,Biomphalaria tchadiensis,EN,EN,2009,2010,3,3,0
MOLLUSCS,Bythinella cylindrica,VU,CR,2009,2010,2,4,-2
MOLLUSCS,Melanopsis etrusca,VU,EN,2009,2010,2,3,-1
"CRAYFISHES, CRABS, LOBSTERS, etc.",Cambarus cymatilis,VU,EN,2009,2010,2,3,-1
"CRAYFISHES, CRABS, LOBSTERS, etc.",Cambarus obeyensis,VU,CR,2009,2010,2,4,-2
"CRAYFISHES, CRABS, LOBSTERS, etc.",Cherax tenuimanus,VU,CR,2009,2010,2,4,-2
"CRAYFISHES, CRABS, LOBSTERS, etc.",Engaeus granulatus,EN,CR,2009,2010,3,4,-1
"CRAYFISHES, CRABS, LOBSTERS, etc.",Engaeus spinicaudatus,EN,CR,2009,2010,3,4,-1
"CRAYFISHES, CRABS, LOBSTERS, etc.",Engaeus sternalis,EN,CR,2009,2010,3,4,-1
"CRAYFISHES, CRABS, LOBSTERS, etc.",Engaewa similis,EN,LC,2009,2010,3,0,3
"CRAYFISHES, CRABS, LOBSTERS, etc.",Euastacus bindal,EN,CR,2009,2010,3,4,-1
"CRAYFISHES, CRABS, LOBSTERS, etc.",Euastacus fleckeri,VU,EN,2009,2010,2,3,-1
"CRAYFISHES, CRABS, LOBSTERS, etc.",Euastacus maidae,EN,CR,2009,2010,3,4,-1
"CRAYFISHES, CRABS, LOBSTERS, etc.",Euastacus neodiversus,VU,EN,2009,2010,2,3,-1
"CRAYFISHES, CRABS, LOBSTERS, etc.",Euastacus yigara,EN,CR,2009,2010,3,4,-1
"CRAYFISHES, CRABS, LOBSTERS, etc.",Hobbseus orconectoides,VU,EN,2009,2010,2,3,-1
"CRAYFISHES, CRABS, LOBSTERS, etc.",Hobbseus valleculus,VU,EN,2009,2010,2,3,-1
"CRAYFISHES, CRABS, LOBSTERS, etc.",Orconectes jeffersoni,VU,EN,2009,2010,2,3,-1
"CRAYFISHES, CRABS, LOBSTERS, etc.",Procambarus apalachicolae,VU,EN,2009,2010,2,3,-1
CONIFERS,Agathis lanceolata,NT,VU,2009,2010,1,2,-1
CONIFERS,Agathis ovata,NT,EN,2009,2010,1,3,-2
CONIFERS,Araucaria biramulata,NT,VU,2009,2010,1,2,-1
CONIFERS,Araucaria humboldtensis,NT,EN,2009,2010,1,3,-2
CONIFERS,Araucaria montana,NT,VU,2009,2010,1,2,-1
CONIFERS,Araucaria muelleri,NT,EN,2009,2010,1,3,-2
CONIFERS,Libocedrus yateensis,VU,EN,2009,2010,2,3,-1
CONIFERS,Neocallitropsis pancheri,VU,EN,2009,2010,2,3,-1
CONIFERS,Parasitaxus ustus,LR/nt,VU,2009,2010,NA,2,NA
CONIFERS,Podocarpus decumbens,VU,CR,2009,2010,2,4,-2
CONIFERS,Podocarpus polyspermus,VU,EN,2009,2010,2,3,-1
CYCADS,Ceratozamia latifolia,VU,EN,2009,2010,2,3,-1
CYCADS,Ceratozamia miqueliana,VU,CR,2009,2010,2,4,-2
CYCADS,Ceratozamia robusta,VU,EN,2009,2010,2,3,-1
CYCADS,Cycas armstrongii,LC,VU,2009,2010,0,2,-2
CYCADS,Cycas elongata,VU,EN,2009,2010,2,3,-1
CYCADS,Cycas lindstromii,VU,EN,2009,2010,2,3,-1
CYCADS,Cycas pachypoda,VU,CR,2009,2010,2,4,-2
CYCADS,Cycas taitungensis,VU,EN,2009,2010,2,3,-1
