Binomial,Common,Status,Trend,System,Taxon,Delta_Status,Status_Impr
Monachus monachus,Mediterranean Monk Seal,EN,Increasing,"Marine,Terrestrial",MarineMam,0,Unchanged
Acanthocybium solandri,Wahoo,LC,Stable,Marine,Bony,0,Unchanged
Alligator sinensis,Chinese Alligator,CR,Stable,"Freshwater,Terrestrial",ReptAmph,0,Unchanged
Apodora papuana,Papuan Olive Python,LC,Stable,Terrestrial,ReptAmph,0,Unchanged
Aquila chrysaetos,Golden Eagle,LC,Stable,Terrestrial,Birds,0,Unchanged
Aquila verreauxii,Verreaux's Eagle,LC,Stable,Terrestrial,Birds,0,Unchanged
Arctocephalus tropicalis,Subantarctic Fur Seal,LC,Stable,"Marine,Terrestrial",MarineMam,0,Unchanged
Bubo ascalaphus,Pharaoh Eagle-owl,LC,Stable,"Freshwater,Terrestrial",Birds,0,Unchanged
Bubo bengalensis,Rock Eagle-owl,LC,Stable,Terrestrial,Birds,0,Unchanged
Bubo capensis,Cape Eagle-owl,LC,Stable,Terrestrial,Birds,0,Unchanged
Bubo lacteus,Verreaux's Eagle-owl,LC,Stable,"Freshwater,Terrestrial",Birds,0,Unchanged
Bubo magellanicus,Magellanic Horned Owl,LC,Stable,Terrestrial,Birds,0,Unchanged
Bubo sumatranus,Barred Eagle-owl,LC,Stable,Terrestrial,Birds,0,Unchanged
Bubo virginianus,Great Horned Owl,LC,Stable,Terrestrial,Birds,0,Unchanged
Buteo augur,Augur Buzzard,LC,Stable,Terrestrial,Birds,0,Unchanged
Buteo galapagoensis,Galapagos Hawk,VU,Stable,"Marine,Terrestrial",Birds,0,Unchanged
Buteo hemilasius,Upland Buzzard,LC,Stable,Terrestrial,Birds,0,Unchanged
Buteo rufinus,Long-legged Buzzard,LC,Stable,Terrestrial,Birds,0,Unchanged
Buteo rufofuscus,Jackal Buzzard,LC,Stable,Terrestrial,Birds,0,Unchanged
Buteo socotraensis,Socotra Buzzard,VU,Stable,Terrestrial,Birds,0,Unchanged
Buteogallus urubitinga,Great Black Hawk,LC,Stable,Terrestrial,Birds,0,Unchanged
Caiman crocodilus,Common Caiman,LC,Stable,"Freshwater,Terrestrial",ReptAmph,0,Unchanged
Carcharhinus tilstoni,Australian Blacktip Shark,LC,Stable,Marine,Elasmo,0,Unchanged
Cathartes aura,Turkey Vulture,LC,Stable,Terrestrial,Birds,0,Unchanged
Cathartes burrovianus,Lesser Yellow-headed Vulture,LC,Stable,"Freshwater,Terrestrial",Birds,0,Unchanged
Circaetus gallicus,Short-toed Snake-eagle,LC,Stable,Terrestrial,Birds,0,Unchanged
Clanga pomarina,Lesser Spotted Eagle,LC,Stable,Terrestrial,Birds,0,Unchanged
Crocodylus palustris,Mugger,VU,Stable,"Freshwater,Terrestrial",ReptAmph,0,Unchanged
Dendroaspis polylepis,Black Mamba,LC,Stable,Terrestrial,ReptAmph,0,Unchanged
Dolichophis jugularis,Large Whip Snake,LC,Stable,Terrestrial,ReptAmph,0,Unchanged
Dolichophis schmidti,Schmidt's Whip Snake,LC,Stable,Terrestrial,ReptAmph,0,Unchanged
Esox lucius,Northern Pike,LC,Stable,Freshwater,Bony,0,Unchanged
Esox masquinongy,Muskellunge,LC,Stable,Freshwater,Bony,0,Unchanged
Geranoaetus melanoleucus,Black-chested Buzzard-eagle,LC,Stable,Terrestrial,Birds,0,Unchanged
Gypohierax angolensis,Palm-nut Vulture,LC,Stable,"Freshwater,Terrestrial",Birds,0,Unchanged
Haliaeetus vocifer,African Fish-eagle,LC,Stable,"Marine,Freshwater,Terrestrial",Birds,0,Unchanged
Ketupa ketupu,Buffy Fish-owl,LC,Stable,"Freshwater,Terrestrial",Birds,0,Unchanged
Lamna ditropis,Salmon Shark,LC,Stable,Marine,Elasmo,0,Unchanged
Lepisosteus osseus,Longnose Gar,LC,Stable,Freshwater,Bony,0,Unchanged
Lycalopex culpaeus,Culpeo,LC,Stable,Terrestrial,LandMam,0,Unchanged
Lynx rufus,Bobcat,LC,Stable,Terrestrial,LandMam,0,Unchanged
Mirounga leonina,Southern Elephant Seal,LC,Stable,"Marine,Terrestrial",MarineMam,0,Unchanged
Morelia amethistina,Amethystine Python,LC,Stable,Terrestrial,ReptAmph,0,Unchanged
Morelia bredli,Centralian Carpet Python,LC,Stable,Terrestrial,ReptAmph,0,Unchanged
Otaria byronia,South American Sea Lion,LC,Stable,"Marine,Terrestrial",MarineMam,0,Unchanged
Phalcoboenus australis,Striated Caracara,NT,Stable,"Marine,Terrestrial",Birds,0,Unchanged
Polydactylus quadrifilis,Giant African threadfin,LC,Stable,Marine,Bony,0,Unchanged
Ruvettus pretiosus,Oilfish,LC,Stable,Marine,Bony,0,Unchanged
Seriola lalandi,Yellowtail Amberjack,LC,Stable,Marine,Bony,0,Unchanged
Seriola rivoliana,Longfin Yellowtail,LC,Stable,Marine,Bony,0,Unchanged
Strix seloputo,Spotted Wood-owl,LC,Stable,Terrestrial,Birds,0,Unchanged
Tetrapturus belone,Mediterranean Shortbill Spearfish,LC,Stable,Marine,Bony,0,Unchanged
Tetrapturus pfluegeri,Longbill Spearfish,LC,Stable,Marine,Bony,0,Unchanged
Crocodylus johnstoni,Australian freshwater Crocodile,LC,Stable,"Freshwater,Terrestrial",ReptAmph,0,Unchanged
Crocodylus niloticus,Nile Crocodile,LC,Stable,"Freshwater,Terrestrial",ReptAmph,0,Unchanged
Lynx lynx,Eurasian Lynx,LC,Stable,Terrestrial,LandMam,0,Unchanged
Ninox strenua,Powerful Owl,LC,Stable,"Freshwater,Terrestrial",Birds,0,Unchanged
Crocodylus moreletii,Morelet's Crocodile,LC,Stable,"Freshwater,Terrestrial",ReptAmph,0,Unchanged
Parahyaena brunnea,Brown Hyaena,NT,Stable,Terrestrial,LandMam,0,Unchanged
Buteo ventralis,Rufous-tailed Hawk,VU,Stable,Terrestrial,Birds,0,Unchanged
Gyps himalayensis,Himalayan Griffon,NT,Stable,Terrestrial,Birds,0,Unchanged
Falco rusticolus,Gyrfalcon,LC,Stable,"Marine,Terrestrial",Birds,0,Unchanged
Pusa sibirica,Baikal Seal,LC,Stable,"Freshwater,Terrestrial",LandMam,0,Unchanged
Canis lupus,Gray Wolf,LC,Stable,Terrestrial,LandMam,0,Unchanged
Alligator mississippiensis,American Alligator,LC,U,"Freshwater,Terrestrial",ReptAmph,0,Unchanged
Argyrosomus hololepidotus,Madagascar Kob,EN,U,Marine,Bony,0,Unchanged
Argyrosomus regius,Meagre,LC,U,Marine,Bony,0,Unchanged
Bagrus docmak,Sudan Catfish,LC,U,Freshwater,Bony,0,Unchanged
Benthodesmus tenuis,NA,LC,U,Marine,Bony,0,Unchanged
Brachyplatystoma rousseauxii,Gilded Catfish,LC,U,Freshwater,Bony,0,Unchanged
Caiman latirostris,Broad-snouted Caiman,LC,U,"Freshwater,Terrestrial",ReptAmph,0,Unchanged
Caiman yacare,Yacaré,LC,U,"Freshwater,Terrestrial",ReptAmph,0,Unchanged
Caracal caracal,Caracal,LC,U,Terrestrial,LandMam,0,Unchanged
Caranx ignobilis,Giant Trevally,LC,U,Marine,Bony,0,Unchanged
Carcharhinus brachyurus,Copper Shark,NT,U,"Marine,Freshwater",Elasmo,0,Unchanged
Carcharhinus brevipinna,Spinner Shark,NT,U,Marine,Elasmo,0,Unchanged
Carcharhinus galapagensis,Galapagos Shark,NT,U,Marine,Elasmo,0,Unchanged
Carcharhinus leucas,Bull Shark,NT,U,"Marine,Freshwater",Elasmo,0,Unchanged
Carcharodon carcharias,Great White Shark,VU,U,Marine,Elasmo,0,Unchanged
Channa marulius,Great snakehead,LC,U,Freshwater,Bony,0,Unchanged
Chitala lopis,Giant Featherback,LC,U,Freshwater,Bony,0,Unchanged
