assessmentId,internalTaxonId,scientificName,code,name,formerlyBred,origin,presence,seasonality
12332346,60239,Etmopterus hillianus,21,Atlantic - northwest,,Native,Extant,
12332635,60240,Etmopterus perryi,31,Atlantic - western central,,Native,Extant,
12332732,60241,Etmopterus polli,47,Atlantic - southeast,,Native,Extant,
12332732,60241,Etmopterus polli,34,Atlantic - eastern central,,Native,Extant,
12332917,60242,Etmopterus princeps,27,Atlantic - northeast,,Native,Extant,
12332917,60242,Etmopterus princeps,21,Atlantic - northwest,,Native,Extant,
12332917,60242,Etmopterus princeps,34,Atlantic - eastern central,,Native,Extant,
12333136,60243,Etmopterus robinsi,31,Atlantic - western central,,Native,Extant,
12333292,60244,Etmopterus sentosus,51,Indian Ocean - western,,Native,Extant,
12333418,60245,Etmopterus virens,31,Atlantic - western central,,Native,Extant,
12333613,60246,Etmopterus schultzi,31,Atlantic - western central,,Native,Extant,
12333813,60247,Mustelus palumbes,51,Indian Ocean - western,,Native,Extant,
12333813,60247,Mustelus palumbes,47,Atlantic - southeast,,Native,Extant,
12462475,61398,Atlantoraja cyclophora,41,Atlantic - southwest,,Native,Extant,
12462715,61399,Bathyraja aguja,87,Pacific - southeast,,Native,Extant,
12462795,61333,Hucho perryi,61,Pacific - northwest,,Native,Extant,
12463147,61334,Bahaba taipingensis,61,Pacific - northwest,,Native,Extant,
12463382,61335,Choerodon azurio,61,Pacific - northwest,,Native,Extant,
12463382,61335,Choerodon azurio,71,Pacific - western central,,Native,Extant,
12464899,61340,Semicossyphus pulcher,77,Pacific - eastern central,,Native,Extant,
12471001,61400,Bythaelurus canescens,87,Pacific - southeast,,Native,Extant,
12471224,61401,Diplobatis colombiensis,31,Atlantic - western central,,Native,Extant,
12471427,61402,Diplobatis guamachensis,31,Atlantic - western central,,Native,Extant,
12471646,61403,Diplobatis ommata,31,Atlantic - western central,,Native,Extant,
12471946,61404,Diplobatis pictus,31,Atlantic - western central,,Native,Extant,
12472583,61406,Narcine brevilabiata,61,Pacific - northwest,,Native,Extant,
12472583,61406,Narcine brevilabiata,67,Pacific - northeast,,Native,Extant,
12473033,61407,Rhizoprionodon porosus,31,Atlantic - western central,,Native,Extant,
12473033,61407,Rhizoprionodon porosus,41,Atlantic - southwest,,Native,Extant,
12473706,61408,Rostroraja alba,51,Indian Ocean - western,,Native,Extant,
12473706,61408,Rostroraja alba,37,Mediterranean and Black Sea,,Native,Extant,
12473706,61408,Rostroraja alba,27,Atlantic - northeast,,Native,Extant,
12473706,61408,Rostroraja alba,47,Atlantic - southeast,,Native,Extant,
12473706,61408,Rostroraja alba,34,Atlantic - eastern central,,Native,Extant,
12476876,61416,Squalus cubensis,31,Atlantic - western central,,Native,Extant,
12476876,61416,Squalus cubensis,41,Atlantic - southwest,,Native,Extant,
12478303,61419,Zapteryx brevirostris,41,Atlantic - southwest,,Native,Extant,
12479759,61422,Xyrichtys trivittatus,61,Pacific - northwest,,Native,Extant,
12479759,61422,Xyrichtys trivittatus,71,Pacific - western central,,Native,Extant,
12602819,63157,Narcine brasiliensis,41,Atlantic - southwest,,Native,Extant,
12603797,63101,Psammobatis rutrum,41,Atlantic - southwest,,Native,Extant,
12603922,63159,Etmopterus litvinovi,87,Pacific - southeast,,Native,Extant,
12604179,63160,Etmopterus pycnolepis,87,Pacific - southeast,,Native,Extant,
12604430,63161,Gurgesiella atlantica,31,Atlantic - western central,,Native,Extant,
12604430,63161,Gurgesiella atlantica,41,Atlantic - southwest,,Native,Extant,
12605965,63106,Bathyraja cousseauae,41,Atlantic - southwest,,Native,Extant,
12607168,63108,Etmopterus gracilispinis,51,Indian Ocean - western,,Native,Extant,
12607168,63108,Etmopterus gracilispinis,31,Atlantic - western central,,Native,Extant,
12607168,63108,Etmopterus gracilispinis,21,Atlantic - northwest,,Native,Extant,
12607168,63108,Etmopterus gracilispinis,47,Atlantic - southeast,,Native,Extant,
12607168,63108,Etmopterus gracilispinis,41,Atlantic - southwest,,Native,Extant,
12607686,63109,Rioraja agassizii,41,Atlantic - southwest,,Native,Extant,
12608554,63110,Atlantoraja platana,41,Atlantic - southwest,,Native,Extant,
12609195,63111,Bathyraja brachyurops,87,Pacific - southeast,,Native,Extant,
12609195,63111,Bathyraja brachyurops,41,Atlantic - southwest,,Native,Extant,
12609541,63112,Bathyraja papilonifera,41,Atlantic - southwest,,Native,Extant,
12609854,63113,Bathyraja griseocauda,87,Pacific - southeast,,Native,Extant,
12609854,63113,Bathyraja griseocauda,41,Atlantic - southwest,,Native,Extant,
12610991,63115,Bathyraja pallida,27,Atlantic - northeast,,Native,Extant,
12611753,63116,Dipturus trachyderma,87,Pacific - southeast,,Native,Extant,
12611753,63116,Dipturus trachyderma,41,Atlantic - southwest,,Native,Extant,
12614979,63121,Psammobatis lentiginosa,41,Atlantic - southwest,,Native,Extant,
12615746,63122,Amblyraja doellojuradoi,87,Pacific - southeast,,Native,Extant,
12615746,63122,Amblyraja doellojuradoi,41,Atlantic - southwest,,Native,Extant,
12616691,63124,Dipturus mennii,41,Atlantic - southwest,,Native,Extant,
12617667,63126,Malacoraja spinacidermis,27,Atlantic - northeast,,Native,Extant,
12617667,63126,Malacoraja spinacidermis,21,Atlantic - northwest,,Native,Extant,
12617667,63126,Malacoraja spinacidermis,47,Atlantic - southeast,,Native,Extant,
12618405,63128,Mustelus mento,87,Pacific - southeast,,Native,Extant,
12619394,63129,Mustelus whitneyi,87,Pacific - southeast,,Native,Extant,
12620764,63130,Triakis maculata,87,Pacific - southeast,,Native,Extant,
12620901,63131,Rhinobatos rhinobatos,37,Mediterranean and Black Sea,,Native,Extant,
12620901,63131,Rhinobatos rhinobatos,27,Atlantic - northeast,,Native,Extant,
12620901,63131,Rhinobatos rhinobatos,47,Atlantic - southeast,,Native,Extant,
12620901,63131,Rhinobatos rhinobatos,34,Atlantic - eastern central,,Native,Extant,
12621585,63133,Malacoraja obscura,41,Atlantic - southwest,,Native,Extant,
12621691,63134,Psammobatis parvacauda,41,Atlantic - southwest,,Native,Extant,
12621755,63135,Urobatis tumbesensis,87,Pacific - southeast,,Native,Extant,
12621843,63136,Dipturus ecuadoriensis,87,Pacific - southeast,,Native,Extant,
12621952,63137,Bathyraja schroederi,87,Pacific - southeast,,Native,Extant,
12621952,63137,Bathyraja schroederi,41,Atlantic - southwest,,Native,Extant,
12622192,63140,Psammobatis scobina,87,Pacific - southeast,,Native,Extant,
12622296,63141,Oxynotus centrina,51,Indian Ocean - western,,Origin Uncertain,Presence Uncertain,
12622296,63141,Oxynotus centrina,37,Mediterranean and Black Sea,,Native,Extant,
12622296,63141,Oxynotus centrina,27,Atlantic - northeast,,Native,Extant,
